program,clippy_warnings,clippy_errors,unsafe_fraction
s005765690.c,2,0,0.7265625
s006536441.c,1,0,0.696969696969697
s013553662.c,3,0,0.7643097643097643
s016316053.c,1,0,0.7071129707112971
s021988116.c,1,0,0.7071129707112971
s030392500.c,4,0,0.7791798107255521
s038473708.c,1,0,0.8321342925659473
s039505497.c,2,0,0.77491961414791
s043320672.c,1,0,0.6373056994818653
s068907154.c,1,0,0.6902654867256637
s079151745.c,1,0,0.7719869706840391
s093097298.c,1,0,0.6551724137931034
s107891584.c,4,0,0.7734627831715211
s109973853.c,2,0,0.829683698296837
s110103027.c,1,0,0.6860986547085202
s124805488.c,2,0,0.6713615023474179
s127651425.c,4,0,0.8638132295719845
s159275605.c,1,0,0.8167539267015707
s168234488.c,3,0,0.7577854671280276
s189709434.c,1,0,0.8341232227488151
s203714034.c,6,0,0.7543859649122807
s227757625.c,1,0,0.6818181818181818
s233495680.c,2,0,0.6860986547085202
s234706394.c,1,0,0.6534653465346535
s237065887.c,1,0,0.7543859649122807
s246854091.c,1,0,0.7859327217125383
s248592197.c,1,0,0.6682464454976303
s273711100.c,1,0,0.7058823529411765
s274382030.c,2,0,0.6860986547085202
s275620087.c,6,0,0.7904191616766467
s279603461.c,2,0,0.829683698296837
s298406808.c,1,0,0.7254901960784313
s305181063.c,1,0,0.6846846846846847
s311954657.c,3,0,0.8756660746003553
s324963220.c,3,0,0.8756660746003553
s334361484.c,3,0,0.7770700636942676
s340065823.c,1,0,0.7058823529411765
s352639213.c,2,0,0.8568507157464212
s372799262.c,1,0,0.7832817337461301
s393428695.c,1,1,0.7021276595744681
s416369799.c,1,0,0.7071129707112971
s476893776.c,4,0,0.7682119205298014
s493266801.c,4,0,0.7397769516728625
s503147473.c,1,0,0.6698113207547169
s503559551.c,1,0,0.696969696969697
s507383035.c,3,0,0.8724954462659381
s513847081.c,1,0,0.8321342925659473
s541008740.c,1,0,0.7254901960784313
s575365076.c,1,0,0.8241206030150754
s595043073.c,4,0,0.8761061946902655
s602474683.c,1,0,0.6236559139784946
s603772550.c,3,0,0.7577854671280276
s624416857.c,3,0,0.8756660746003553
s630197396.c,1,0,0.6698113207547169
s656367875.c,1,0,0.7058823529411765
s670844757.c,4,0,0.7682119205298014
s677913832.c,3,0,0.8736462093862816
s689976399.c,1,0,0.6551724137931034
s695270122.c,1,0,0.7378277153558053
s720139214.c,3,0,0.7971014492753623
s731040029.c,2,0,0.6698113207547169
s732370584.c,1,0,0.8108108108108109
s735179283.c,1,0,0.696969696969697
s736168276.c,3,0,0.900990099009901
s759169670.c,1,0,0.7033898305084746
s761899322.c,3,0,0.8756660746003553
s762233629.c,1,0,0.6551724137931034
s766716944.c,2,0,0.8568507157464212
s769202577.c,1,0,0.7071129707112971
s782157214.c,4,0,0.7928994082840237
s784039142.c,4,0,0.7610921501706485
s785179373.c,1,0,0.8167539267015707
s785553178.c,1,0,0.6551724137931034
s797928929.c,6,0,0.7535211267605634
s805339058.c,1,0,0.7033898305084746
s830838069.c,1,0,0.6682464454976303
s854681124.c,1,0,0.7254901960784313
s865825374.c,4,0,0.8580121703853956
s869255939.c,1,2,0.7297297297297297
s878747470.c,1,0,0.8022598870056498
s882774581.c,4,0,0.7682119205298014
s893243612.c,1,0,0.8321342925659473
s911859515.c,1,0,0.7071129707112971
s912463779.c,1,0,0.8022598870056498
s928861682.c,2,0,0.8071625344352618
s930747174.c,4,0,0.7988505747126436
s937310122.c,2,0,0.7982708933717579
s951394557.c,1,0,0.8325358851674641
s955232628.c,1,0,0.779874213836478
s961979487.c,3,0,0.8767605633802817
s962788897.c,4,0,0.75177304964539
s989356510.c,2,0,0.7142857142857143
s997347996.c,2,0,0.7741935483870968
