program,clippy_warnings,clippy_errors,unsafe_fraction
s761899322.c,0,0,0.0
s311954657.c,1,0,0.0
s624416857.c,0,0,0.0
s324963220.c,1,0,0.0
s961979487.c,0,0,0.0
s736168276.c,0,0,0.0
s507383035.c,2,0,0.0
s865825374.c,0,0,0.0
s595043073.c,0,0,0.0
s279603461.c,0,0,0.0
s575365076.c,0,0,0.0
s797928929.c,2,0,0.0
s203714034.c,9,0,0.0
s109973853.c,0,0,0.0
s677913832.c,0,0,0.0
s039505497.c,0,0,0.0
s997347996.c,0,0,0.0
s784039142.c,0,0,0.0
s930747174.c,0,0,0.0
s189709434.c,0,0,0.0
s955232628.c,0,0,0.0
s732370584.c,0,0,0.0
s013553662.c,0,0,0.0
s911859515.c,0,0,0.0
s416369799.c,0,0,0.0
s782157214.c,0,0,0.0
s766716944.c,0,0,0.0
s352639213.c,0,0,0.0
s603772550.c,0,0,0.0
s476893776.c,0,0,0.0
s882774581.c,0,0,0.0
s951394557.c,0,0,0.0
s168234488.c,0,0,0.0
s670844757.c,0,0,0.0
s159275605.c,0,0,0.0
s349493245.c,0,0,0.0
s878747470.c,0,0,0.0
s038473708.c,0,0,0.0
s030392500.c,2,0,0.0
s006536441.c,3,0,0.0
s541008740.c,0,0,0.0
s735179283.c,3,0,0.0
s805339058.c,0,0,0.0
s893243612.c,0,0,0.0
s962788897.c,0,0,0.0
s275620087.c,0,0,0.0
s854681124.c,0,0,0.0
s513847081.c,0,0,0.0
s630197396.c,0,0,0.0
s912463779.c,0,0,0.0
s869255939.c,0,0,0.0
s989356510.c,1,0,0.0
s759169670.c,0,0,0.0
s305181063.c,0,0,0.0
s124805488.c,1,0,0.0
s393428695.c,0,0,0.0
s937310122.c,0,0,0.0
s689976399.c,0,0,0.0
s785553178.c,0,0,0.0
s273711100.c,0,0,0.0
s068907154.c,0,0,0.0
s298406808.c,0,0,0.0
s493266801.c,0,0,0.0
s762233629.c,0,0,0.0
s340065823.c,0,0,0.0
s079151745.c,0,0,0.0
s503147473.c,0,0,0.0
s233495680.c,0,0,0.0
s227757625.c,0,0,0.0
s093097298.c,0,0,0.0
s005765690.c,0,0,0.0
s656367875.c,0,0,0.0
s274382030.c,0,0,0.0
s234706394.c,0,0,0.0
s110103027.c,0,0,0.0
s248592197.c,0,0,0.0
s731040029.c,0,0,0.0
s602474683.c,0,0,0.0
s830838069.c,0,0,0.0
s043320672.c,0,0,0.0
